iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,extreme_poverty,female_smokers,male_smokers
AFG,Asia,Afghanistan,39835428.0,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,37.746,0.5,64.83,0.511,,,
OWID_AFR,,Africa,1373486472.0,,,,,,,,,,,,,,
ALB,Europe,Albania,2872934.0,104.871,38.0,13.188,8.643,11803.431,304.195,10.08,,2.89,78.57,0.795,1.1,7.1,51.2
DZA,Africa,Algeria,44616626.0,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,83.741,1.9,76.88,0.748,0.5,0.7,30.4
AND,Europe,Andorra,77354.0,163.755,,,,,109.135,7.97,,,83.73,0.868,,29.0,37.8
AGO,Africa,Angola,33933611.0,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,26.664,,61.15,0.581,,,
AIA,North America,Anguilla,15125.0,,,,,,,,,,81.88,,,,
ATG,North America,Antigua and Barbuda,98728.0,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,,3.8,77.02,0.778,,,
ARG,South America,Argentina,45605823.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,,5.0,76.67,0.845,0.6,16.2,27.7
ARM,Asia,Armenia,2968128.0,102.931,35.7,11.232,7.571,8787.58,341.01,7.11,94.043,4.2,75.09,0.776,1.8,1.5,52.1
ABW,North America,Aruba,107195.0,584.8,41.2,13.085,7.452,35973.781,,11.62,,,76.29,,,,
OWID_ASI,,Asia,4678444992.0,,,,,,,,,,,,,,
AUS,Oceania,Australia,25788217.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,,3.84,83.44,0.944,0.5,13.0,16.5
AUT,Europe,Austria,9043072.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,,7.37,81.54,0.922,0.7,28.4,30.9
AZE,Asia,Azerbaijan,10223344.0,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,83.241,4.7,73.0,0.756,,0.3,42.5
BHS,North America,Bahamas,396914.0,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,,2.9,73.92,0.814,,3.1,20.4
BHR,Asia,Bahrain,1748295.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,,2.0,77.29,0.852,,5.8,37.6
BGD,Asia,Bangladesh,166303494.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,34.808,0.8,72.59,0.632,14.8,1.0,44.7
BRB,North America,Barbados,287708.0,664.463,39.8,14.952,9.473,16978.068,170.05,13.57,88.469,5.8,79.19,0.814,,1.9,14.5
BLR,Europe,Belarus,9442867.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,,11.0,74.79,0.823,,10.5,46.1
BEL,Europe,Belgium,11632334.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,,5.64,81.63,0.931,0.2,25.1,31.4
BLZ,North America,Belize,404915.0,16.426,25.0,3.853,2.279,7824.362,176.957,17.11,90.083,1.3,74.62,0.716,,,
BEN,Africa,Benin,12451031.0,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,11.035,0.5,61.77,0.545,49.6,0.6,12.3
BMU,North America,Bermuda,62092.0,1308.82,,,,50669.315,139.547,13.0,,,82.59,,,,
BTN,Asia,Bhutan,779900.0,21.188,28.6,4.885,2.977,8708.597,217.066,9.75,79.807,1.7,71.78,0.654,1.5,,
BOL,South America,Bolivia,11832936.0,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,25.383,1.1,71.51,0.718,7.1,,
BES,North America,Bonaire Sint Eustatius and Saba,26445.0,,,,,,,,,,77.79,,,,
BIH,Europe,Bosnia and Herzegovina,3263459.0,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,97.164,3.5,77.4,0.78,0.2,30.2,47.7
BWA,Africa,Botswana,2397240.0,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,,1.8,69.59,0.735,,5.7,34.4
BRA,South America,Brazil,213993441.0,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,,2.2,75.88,0.765,3.4,10.1,17.9
VGB,North America,British Virgin Islands,30423.0,207.973,,,,,,13.67,,,79.07,,,,
BRN,Asia,Brunei,441532.0,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,,2.7,75.86,0.838,,2.0,30.9
BGR,Europe,Bulgaria,6896655.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,,7.454,75.05,0.816,1.5,30.1,44.4
BFA,Africa,Burkina Faso,21497097.0,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,11.877,0.4,61.58,0.452,43.7,1.6,23.9
BDI,Africa,Burundi,12255429.0,423.062,17.5,2.562,1.504,702.225,293.068,6.05,6.144,0.8,61.58,0.433,71.7,,
KHM,Asia,Cambodia,16946446.0,90.672,25.6,4.412,2.385,3645.07,270.892,4.0,66.229,0.8,69.82,0.594,,2.0,33.7
CMR,Africa,Cameroon,27224262.0,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,2.735,1.3,59.29,0.563,23.8,,
CAN,North America,Canada,38067913.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,,2.5,82.43,0.929,0.5,12.0,16.6
CPV,Africa,Cape Verde,561901.0,135.58,25.7,4.46,3.437,6222.554,182.219,2.42,,2.1,72.98,0.665,,2.1,16.5
CYM,North America,Cayman Islands,66498.0,256.496,,,,49903.029,,13.22,,,83.92,,,,
CAF,Africa,Central African Republic,4919987.0,7.479,18.3,3.655,2.251,661.24,435.727,6.1,16.603,1.0,53.28,0.397,,,
TCD,Africa,Chad,16914985.0,11.833,16.7,2.486,1.446,1768.153,280.995,6.1,5.818,,54.24,0.398,38.4,,
CHL,South America,Chile,19212362.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,,2.11,80.18,0.851,1.3,34.2,41.5
CHN,Asia,China,1444216102.0,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,,4.34,76.91,0.761,0.7,1.9,48.4
COL,South America,Colombia,51265841.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,65.386,1.71,77.29,0.767,4.5,4.7,13.5
COM,Africa,Comoros,888456.0,437.352,20.4,2.963,1.726,1413.89,261.516,11.88,15.574,2.2,64.32,0.554,18.1,4.4,23.6
COG,Africa,Congo,5657017.0,15.405,19.0,3.402,2.063,4881.406,344.094,7.2,47.964,,64.57,0.574,37.0,1.7,52.3
COK,Oceania,Cook Islands,17572.0,,,,,,,,,,76.25,,,,
CRI,North America,Costa Rica,5139053.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,83.841,1.13,80.28,0.81,1.3,6.4,17.4
CIV,Africa,Cote d'Ivoire,27053629.0,76.399,18.7,2.933,1.582,3601.006,303.74,2.42,19.351,,57.78,0.538,28.2,,
HRV,Europe,Croatia,4081657.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,,5.54,78.49,0.851,0.7,34.3,39.9
CUB,North America,Cuba,11317498.0,110.408,43.1,14.738,9.719,,190.968,8.27,85.198,5.2,78.8,0.783,,17.1,53.3
CUW,North America,Curacao,164796.0,362.644,41.7,16.367,10.068,,,11.62,,,78.88,,,,
CYP,Europe,Cyprus,896005.0,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,,3.4,80.98,0.887,,19.6,52.7
CZE,Europe,Czechia,10724553.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,,6.63,79.38,0.9,,30.5,38.3
COD,Africa,Democratic Republic of Congo,92377986.0,35.879,17.0,3.02,1.745,808.133,318.949,6.1,4.472,,60.68,0.48,77.1,,
DNK,Europe,Denmark,5813302.0,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,,2.5,80.9,0.94,0.2,19.3,18.8
DJI,Africa,Djibouti,1002197.0,41.285,25.4,4.213,2.38,2705.406,258.037,6.05,,1.4,67.11,0.524,22.5,1.7,24.5
DMA,North America,Dominica,72172.0,98.567,,,,9673.367,227.376,11.62,,3.8,75.0,0.742,,,
DOM,North America,Dominican Republic,10953714.0,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,55.182,1.6,74.08,0.756,1.6,8.5,19.1
ECU,South America,Ecuador,17888474.0,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,80.635,1.5,77.01,0.759,3.6,2.0,12.3
EGY,Africa,Egypt,104258327.0,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,89.827,1.6,71.99,0.707,1.3,0.2,50.1
SLV,North America,El Salvador,6518500.0,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,90.65,1.3,73.32,0.673,2.2,2.5,18.8
GNQ,Africa,Equatorial Guinea,1449891.0,45.194,22.4,2.846,1.752,22604.873,202.812,7.78,24.64,2.1,58.74,0.592,,,
ERI,Africa,Eritrea,3601462.0,44.304,19.3,3.607,2.171,1510.459,311.11,6.05,,0.7,66.32,0.459,,0.2,11.4
EST,Europe,Estonia,1325188.0,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,,4.69,78.74,0.892,0.5,24.5,39.3
SWZ,Africa,Eswatini,1172369.0,79.492,21.5,3.163,1.845,7738.975,333.436,3.94,24.097,2.1,60.19,0.611,,1.7,16.5
ETH,Africa,Ethiopia,117876226.0,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,7.96,0.3,66.6,0.485,26.7,0.4,8.5
OWID_EUR,,Europe,748962983.0,,,,,,,,,,,,,,
OWID_EUN,,European Union,447189915.0,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,49053.0,35.308,,,,,,,,,80.67,,,,
FLK,South America,Falkland Islands,3528.0,,,,,,,,,,81.44,,,,
FJI,Oceania,Fiji,902899.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,,2.3,67.44,0.743,1.4,10.2,34.8
FIN,Europe,Finland,5548361.0,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,,3.28,81.91,0.938,,18.3,22.6
FRA,Europe,France,67422000.0,122.578,42.0,19.718,13.079,38605.671,86.06,4.77,,5.98,82.66,0.901,,30.1,35.6
PYF,Oceania,French Polynesia,282534.0,77.324,32.7,7.775,4.593,,,22.63,,,77.66,,,,
GAB,Africa,Gabon,2278829.0,7.859,23.1,4.45,2.976,16562.413,259.967,7.2,,6.3,66.47,0.703,3.4,,
GMB,Africa,Gambia,2486937.0,207.566,17.5,2.339,1.417,1561.767,331.43,1.91,7.876,1.1,62.05,0.496,10.1,0.7,31.2
GEO,Asia,Georgia,3979773.0,65.032,38.7,14.864,10.244,9745.079,496.218,7.11,,2.6,73.77,0.812,4.2,5.3,55.5
DEU,Europe,Germany,83900471.0,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,,8.0,81.33,0.947,,28.2,33.1
GHA,Africa,Ghana,31732128.0,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,41.047,0.9,64.07,0.611,12.0,0.3,7.7
GIB,Europe,Gibraltar,33691.0,3457.1,,,,,,,,,79.93,,,,
GRC,Europe,Greece,10370747.0,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,,4.21,82.24,0.888,1.5,35.3,52.0
GRL,North America,Greenland,56868.0,0.137,,,,,199.941,2.16,,,71.7,,,,
GRD,North America,Grenada,113015.0,317.132,29.4,7.304,5.021,13593.877,243.964,10.71,,3.7,72.4,0.779,,,
GTM,North America,Guatemala,18249868.0,157.834,22.9,4.694,3.016,7423.808,155.898,10.18,76.665,0.6,74.3,0.663,8.7,,
GGY,Europe,Guernsey,63385.0,,,,,,,,,,,,,,
GIN,Africa,Guinea,13497237.0,51.755,19.0,3.135,1.733,1998.926,336.717,2.42,17.45,0.3,61.6,0.477,35.3,,
GNB,Africa,Guinea-Bissau,2015490.0,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,6.403,,58.32,0.48,67.1,,
GUY,South America,Guyana,790329.0,3.952,26.3,5.305,2.837,7435.047,373.159,11.62,77.159,1.6,69.91,0.682,,,
HTI,North America,Haiti,11541683.0,398.448,24.3,4.8,2.954,1653.173,430.548,6.65,22.863,0.7,64.0,0.51,23.5,2.9,23.1
OWID_HIC,,High income,1214930230.0,,,,,,,,,,,,,,
HND,North America,Honduras,10062994.0,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,84.169,0.7,75.27,0.634,16.0,2.0,
HKG,Asia,Hong Kong,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,8.33,,,84.86,0.949,,,
HUN,Europe,Hungary,9634162.0,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,,7.02,76.88,0.854,0.5,26.8,34.8
ISL,Europe,Iceland,368792.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,,2.91,82.99,0.949,0.2,14.3,15.2
IND,Asia,India,1393409033.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,59.55,0.53,69.66,0.645,21.2,1.9,20.6
IDN,Asia,Indonesia,276361788.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,64.204,1.04,71.72,0.718,5.7,2.8,76.1
OWID_INT,,International,,,,,,,,,,,,,,,
IRN,Asia,Iran,85028760.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,,1.5,76.68,0.783,0.2,0.8,21.1
IRQ,Asia,Iraq,41179351.0,88.125,20.0,3.186,1.957,15663.986,218.612,8.83,94.576,1.4,70.6,0.674,2.5,,
IRL,Europe,Ireland,4982904.0,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,,2.96,82.3,0.955,0.2,23.0,25.7
IMN,Europe,Isle of Man,85410.0,147.872,,,,,,,,,81.4,,,,
ISR,Asia,Israel,9291000.0,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,,2.99,82.97,0.919,0.5,15.4,35.4
ITA,Europe,Italy,60367471.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,,3.18,83.51,0.892,2.0,19.8,27.8
JAM,North America,Jamaica,2973462.0,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,66.425,1.7,74.47,0.734,,5.3,28.6
JPN,Asia,Japan,126050796.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,,13.05,84.63,0.919,,11.2,33.7
JEY,Europe,Jersey,101073.0,,,,,,,,,,,,,,
JOR,Asia,Jordan,10269022.0,109.285,23.2,3.81,2.361,8337.49,208.257,11.75,,1.4,74.53,0.729,0.1,,
KAZ,Asia,Kazakhstan,18994958.0,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,98.999,6.7,73.6,0.825,0.1,7.0,43.1
KEN,Africa,Kenya,54985702.0,87.324,20.0,2.686,1.528,2993.028,218.637,2.92,24.651,1.4,66.7,0.601,36.8,1.2,20.4
KIR,Oceania,Kiribati,121388.0,143.701,23.2,3.895,2.21,1981.132,434.657,22.66,,1.9,68.37,0.63,,35.9,58.9
OWID_KOS,Europe,Kosovo,1782115.0,168.155,,,,9795.834,,,,,,,0.6,,
KWT,Asia,Kuwait,4328553.0,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,,2.0,75.49,0.806,,2.7,37.0
KGZ,Asia,Kyrgyzstan,6628347.0,32.333,26.3,4.489,2.882,3393.474,436.362,7.11,89.22,4.5,71.45,0.697,1.4,3.6,50.5
LAO,Asia,Laos,7379358.0,29.715,24.4,4.029,2.322,6397.36,368.111,4.0,49.839,1.5,67.92,0.613,22.7,7.3,51.2
