iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,extreme_poverty,female_smokers,male_smokers
LVA,Europe,Latvia,1866934.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,,5.57,75.29,0.866,0.7,25.6,51.0
LBN,Asia,Lebanon,6769151.0,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,,2.9,78.93,0.744,,26.9,40.7
LSO,Africa,Lesotho,2159067.0,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,2.117,,54.33,0.527,59.6,0.4,53.9
LBR,Africa,Liberia,5180208.0,49.127,19.2,3.057,1.756,752.788,272.509,2.42,1.188,0.8,64.1,0.48,38.6,1.5,18.1
LBY,Africa,Libya,6958538.0,3.623,29.0,4.424,2.816,17881.509,341.862,10.43,,3.7,72.91,0.724,,,
LIE,Europe,Liechtenstein,38254.0,237.012,,,,,,7.77,,2.397,82.49,0.919,,,
LTU,Europe,Lithuania,2689862.0,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,,6.56,75.93,0.882,0.7,21.3,38.0
OWID_LIC,,Low income,665149040.0,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,3330652550.0,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,634814.0,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,,4.51,82.25,0.916,0.2,20.9,26.0
MAC,Asia,Macao,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,84.24,,,,
MDG,Africa,Madagascar,28427333.0,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,50.54,0.2,67.04,0.528,77.6,,
MWI,Africa,Malawi,19647681.0,197.519,18.1,2.979,1.783,1095.042,227.349,3.94,8.704,1.3,64.26,0.483,71.4,4.4,24.7
MYS,Asia,Malaysia,32776195.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,,1.9,76.16,0.81,0.1,1.0,42.4
MDV,Asia,Maldives,543620.0,1454.433,30.6,4.12,2.875,15183.616,164.905,9.19,95.803,,78.92,0.74,,2.1,55.0
MLI,Africa,Mali,20855724.0,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,52.232,0.1,59.31,0.434,,1.6,23.0
MLT,Europe,Malta,516100.0,1454.037,42.4,19.426,11.324,36513.323,168.711,8.83,,4.485,82.53,0.895,0.2,20.9,30.2
MHL,Oceania,Marshall Islands,59618.0,295.15,,,,3819.202,557.793,30.53,82.502,2.7,73.7,0.704,,,
MRT,Africa,Mauritania,4775110.0,4.289,20.3,3.138,1.792,3597.633,232.347,2.42,15.95,,64.92,0.546,6.0,,
MUS,Africa,Mauritius,1273428.0,622.962,37.4,10.945,5.884,20292.745,224.644,22.02,,3.4,74.99,0.804,0.5,3.2,40.7
MEX,North America,Mexico,130262220.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,87.847,1.38,75.05,0.779,2.5,6.9,21.4
FSM,Oceania,Micronesia (country),116255.0,150.777,23.0,4.81,2.392,3299.464,454.343,12.02,,,67.88,0.62,16.0,,
MDA,Europe,Moldova,4024025.0,123.655,37.6,10.864,6.955,5189.972,408.502,5.72,86.979,5.8,71.9,0.75,0.2,5.9,44.6
MCO,Europe,Monaco,39520.0,19347.5,,,,,,5.46,,13.8,86.75,,,,
MNG,Asia,Mongolia,3329282.0,1.98,28.6,4.031,2.421,11840.846,460.043,4.82,71.18,7.0,69.87,0.737,0.5,5.5,46.5
MNE,Europe,Montenegro,628051.0,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,,3.861,76.88,0.829,1.0,44.0,47.9
MSR,North America,Montserrat,4981.0,,,,,,,,,,74.16,,,,
MAR,Africa,Morocco,37344787.0,80.08,29.6,6.769,4.209,7485.013,419.146,7.14,,1.1,76.68,0.686,1.0,0.8,47.1
MOZ,Africa,Mozambique,32163045.0,37.728,17.7,3.158,1.87,1136.103,329.942,3.3,12.227,0.7,60.85,0.456,62.9,5.1,29.1
MMR,Asia,Myanmar,54806014.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,79.287,0.9,67.13,0.583,6.4,6.3,35.2
NAM,Africa,Namibia,2587344.0,3.078,22.0,3.552,2.085,9541.808,243.811,3.94,44.6,,63.71,0.646,13.4,9.7,34.2
NRU,Oceania,Nauru,10873.0,682.45,,,,12895.635,,24.07,,5.0,59.96,,,43.0,36.9
NPL,Asia,Nepal,29674920.0,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,47.782,0.3,70.78,0.602,15.0,9.5,37.8
NLD,Europe,Netherlands,17173094.0,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,,3.32,82.28,0.944,,24.4,27.3
NCL,Oceania,New Caledonia,288217.0,15.342,33.4,9.954,6.489,,,23.36,,,77.55,,,,
NZL,Oceania,New Zealand,5126300.0,18.206,37.9,15.322,9.72,36085.843,128.797,8.08,,2.61,82.29,0.931,,14.8,17.2
NIC,North America,Nicaragua,6702379.0,51.667,27.3,5.445,3.519,5321.444,137.016,11.47,,0.9,74.48,0.66,3.2,,
NER,Africa,Niger,25130810.0,16.955,15.1,2.553,1.378,926.0,238.339,2.42,8.978,0.3,62.42,0.394,44.5,0.1,15.4
NGA,Africa,Nigeria,211400704.0,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,41.949,,54.69,0.539,,0.6,10.8
NIU,Oceania,Niue,1614.0,,,,,,,,,,73.71,,,,
OWID_NAM,,North America,596581283.0,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2082661.0,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,,4.28,75.8,0.774,5.0,,
OWID_CYN,Asia,Northern Cyprus,,,,,,,,,,,,,,,
NOR,Europe,Norway,5465629.0,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,,3.6,82.4,0.957,0.2,19.6,20.7
OWID_OCE,,Oceania,43219954.0,,,,,,,,,,,,,,
OMN,Asia,Oman,5223376.0,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,97.4,1.6,77.86,0.813,,0.5,15.6
PAK,Asia,Pakistan,225199929.0,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,59.607,0.6,67.27,0.557,4.0,2.8,36.7
PLW,Oceania,Palau,18174.0,47.237,,,,13240.405,,15.89,,4.8,73.7,0.826,,7.7,22.7
PSE,Asia,Palestine,5222756.0,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,,,74.05,0.708,1.0,,
PAN,North America,Panama,4381583.0,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,,2.3,78.51,0.815,2.2,2.4,9.9
PNG,Oceania,Papua New Guinea,9119005.0,18.22,22.6,3.808,2.142,3823.194,561.494,17.65,,,64.5,0.555,,23.5,48.8
PRY,South America,Paraguay,7219641.0,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,79.602,1.3,74.25,0.728,1.7,5.0,21.6
PER,South America,Peru,33359415.0,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,,1.6,76.74,0.777,3.5,4.8,
PHL,Asia,Philippines,111046910.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,78.463,1.0,71.23,0.718,,7.8,40.8
PCN,Oceania,Pitcairn,47.0,,,,,,,,,,,,,,
POL,Europe,Poland,37797000.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,,6.62,78.73,0.88,,23.3,33.1
PRT,Europe,Portugal,10167923.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,,3.39,82.05,0.864,0.5,16.3,30.0
QAT,Asia,Qatar,2930524.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,,1.2,80.23,0.848,,0.8,26.9
ROU,Europe,Romania,19127772.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,,6.892,76.05,0.828,5.7,22.9,37.1
RUS,Europe,Russia,145912022.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,,8.05,72.58,0.824,0.1,23.4,58.3
RWA,Africa,Rwanda,13276517.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,4.617,,69.02,0.543,56.0,4.7,21.0
SHN,Africa,Saint Helena,6095.0,,,,,,,,,,80.56,,,,
KNA,North America,Saint Kitts and Nevis,53546.0,212.865,,,,24654.385,,12.84,,2.3,76.23,0.779,,,
LCA,North America,Saint Lucia,184401.0,293.187,34.9,9.721,6.405,12951.839,204.62,11.62,87.202,1.3,76.2,0.759,,,
SPM,North America,Saint Pierre and Miquelon,5771.0,,,,,,,,,,81.07,,,,
VCT,North America,Saint Vincent and the Grenadines,111269.0,281.787,31.8,7.724,4.832,10727.146,252.675,11.62,,2.6,72.53,0.738,,,
WSM,Oceania,Samoa,200144.0,69.413,22.0,5.606,3.564,6021.557,348.977,9.21,,,73.32,0.715,,16.7,38.1
SMR,Europe,San Marino,34010.0,556.667,,,,56861.47,,5.64,,3.8,84.97,,,,
STP,Africa,Sao Tome and Principe,223364.0,212.841,18.7,2.886,2.162,3052.714,270.113,2.42,41.34,2.9,70.39,0.625,32.3,,
SAU,Asia,Saudi Arabia,35340680.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,,2.7,75.13,0.854,,1.8,25.4
SEN,Africa,Senegal,17196308.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,20.859,,67.94,0.512,38.0,0.4,16.6
SRB,Europe,Serbia,6871547.0,80.291,41.2,17.366,,14048.881,439.415,10.08,97.719,5.609,76.0,0.806,,37.7,40.2
SYC,Africa,Seychelles,98910.0,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,,3.6,73.4,0.796,1.1,7.1,35.7
SLE,Africa,Sierra Leone,8141343.0,104.7,19.1,2.538,1.285,1390.3,325.721,2.42,19.275,,54.7,0.452,52.2,8.8,41.3
SGP,Asia,Singapore,5453600.0,7915.731,42.4,12.922,7.049,85535.383,92.243,10.99,,2.4,83.62,0.938,,5.2,28.3
SXM,North America,Sint Maarten (Dutch part),43421.0,1209.088,,,,36327.232,,,,,78.95,,,,
SVK,Europe,Slovakia,5449270.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,,5.82,77.54,0.86,0.7,23.1,37.7
SVN,Europe,Slovenia,2078723.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,,4.5,81.32,0.917,,20.1,25.0
SLB,Oceania,Solomon Islands,703995.0,21.841,20.8,3.507,2.043,2205.923,459.78,18.68,35.89,1.4,73.0,0.567,25.1,,
SOM,Africa,Somalia,16359500.0,23.5,16.8,2.731,1.496,,365.769,6.05,9.831,0.9,57.4,,,,
ZAF,Africa,South Africa,60041996.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,43.993,2.32,64.13,0.709,18.9,8.1,33.2
OWID_SAM,,South America,434260137.0,,,,,,,,,,,,,,
KOR,Asia,South Korea,51305184.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,,12.27,83.03,0.916,0.2,6.2,40.9
SSD,Africa,South Sudan,11381377.0,,19.2,3.441,2.032,1569.888,280.775,10.43,,,57.85,0.433,,,
ESP,Europe,Spain,46745211.0,93.105,45.5,19.436,13.799,34272.36,99.403,7.17,,2.97,83.56,0.904,1.0,27.4,31.4
LKA,Asia,Sri Lanka,21497306.0,341.955,34.1,10.069,5.331,11669.077,197.093,10.68,,3.6,76.98,0.782,0.7,0.3,27.0
SDN,Africa,Sudan,44909351.0,23.258,19.7,3.548,2.034,4466.507,431.388,15.67,23.437,0.8,65.31,0.51,,,
SUR,South America,Suriname,591798.0,3.612,29.6,6.933,4.229,13767.119,258.314,12.54,67.779,3.1,71.68,0.738,,7.4,42.9
SWE,Europe,Sweden,10160159.0,24.718,41.0,19.985,13.433,46949.283,133.982,4.79,,2.22,82.8,0.945,0.5,18.8,18.9
CHE,Europe,Switzerland,8715494.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,,4.53,83.78,0.955,,22.6,28.9
SYR,Asia,Syria,18275704.0,,21.7,,2.577,,376.264,,70.598,1.5,72.7,0.567,,,
TWN,Asia,Taiwan,23855008.0,,42.2,,8.353,,103.957,,,,80.46,,,,
TJK,Asia,Tajikistan,9749625.0,64.281,23.3,3.466,2.155,2896.913,427.698,7.11,72.704,4.8,71.1,0.668,4.8,,
TZA,Africa,Tanzania,61498438.0,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,47.953,0.7,65.46,0.529,49.1,3.3,26.7
THA,Asia,Thailand,69950844.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,90.67,2.1,77.15,0.777,0.1,1.9,38.8
TLS,Asia,Timor,1343875.0,87.176,18.0,3.556,1.897,6570.102,335.346,6.86,28.178,5.9,69.5,0.606,30.3,6.3,78.1
TGO,Africa,Togo,8478242.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,10.475,0.7,61.04,0.515,49.2,0.9,14.2
TKL,Oceania,Tokelau,1368.0,,,,,,,,,,81.86,,,,
TON,Oceania,Tonga,106759.0,150.028,22.3,5.82,4.032,5425.621,227.49,15.42,,2.6,70.91,0.725,,11.8,44.4
TTO,North America,Trinidad and Tobago,1403374.0,266.886,36.2,10.014,5.819,28763.071,228.467,10.97,89.443,3.0,73.51,0.796,,,
TUN,Africa,Tunisia,11935764.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,78.687,2.3,76.7,0.74,2.0,1.1,65.8
TUR,Asia,Turkey,85042736.0,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,,2.81,77.69,0.82,0.2,14.1,41.1
TKM,Asia,Turkmenistan,6117933.0,12.253,26.9,4.277,2.541,16389.023,536.783,7.11,100.0,7.4,68.19,0.715,,,
TCA,North America,Turks and Caicos Islands,39226.0,37.312,,,,,,,,,80.22,,,,
TUV,Oceania,Tuvalu,11925.0,373.067,,,,3575.104,,27.25,,,67.57,,3.3,,
UGA,Africa,Uganda,47123533.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,21.222,0.5,63.37,0.544,41.6,3.4,16.7
UKR,Europe,Ukraine,43466822.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,,8.8,72.06,0.779,0.1,13.5,47.4
ARE,Asia,United Arab Emirates,9991083.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,,1.2,77.97,0.89,,1.2,37.4
GBR,Europe,United Kingdom,68207114.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,,2.54,81.32,0.932,0.2,20.0,24.7
USA,North America,United States,332915074.0,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,,2.77,78.86,0.926,1.2,19.1,24.6
OWID_UMC,,Upper middle income,2513672790.0,,,,,,,,,,,,,,
URY,South America,Uruguay,3485152.0,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,,2.8,77.91,0.817,0.1,14.0,19.9
UZB,Asia,Uzbekistan,33935765.0,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,,4.0,71.72,0.72,,1.3,24.7
VUT,Oceania,Vanuatu,314464.0,22.662,23.1,4.394,2.62,2921.909,546.3,12.02,25.209,,70.47,0.609,13.2,2.8,34.5
VAT,Europe,Vatican,812.0,,,,,,,,,,75.12,,,,
VEN,South America,Venezuela,28704947.0,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,,0.8,72.06,0.711,,,
VNM,Asia,Vietnam,98168829.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,85.847,2.6,75.4,0.704,2.0,1.0,45.9
WLF,Oceania,Wallis and Futuna,11094.0,,,,,,,,,,79.94,,,,
OWID_WRL,,World,7874965730.0,58.045,30.9,8.696,5.355,15469.207,233.07,8.51,60.13,2.705,72.58,0.737,10.0,6.434,34.635
YEM,Asia,Yemen,30490639.0,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,49.542,0.7,66.12,0.47,18.8,7.6,29.2
ZMB,Africa,Zambia,18920657.0,22.995,17.7,2.48,1.542,3689.251,234.499,3.94,13.938,2.0,63.89,0.584,57.5,3.1,24.7
ZWE,Africa,Zimbabwe,15092171.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,36.791,1.7,61.49,0.571,21.4,1.6,30.7
